Ticker,symbol,company_name,sector,sub_industry,daily_mean,daily_vol,annual_return_est,annual_vol_est,min_daily_return,max_daily_return
MCHP,MCHP,Microchip Technology,Information Technology,Semiconductors,0.0010015886111219654,0.028671554268620593,0.25240033000273526,0.455146813778775,-0.20294393240193054,0.27051517647804313
IR,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,0.0009941348250432195,0.021507763145052396,0.2505219759108913,0.34142515523453437,-0.1604893353603627,0.16042777475849856
LYV,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,0.0009865193337532743,0.02625426181207067,0.24860287210582513,0.4167734856619139,-0.16580623883276935,0.18370159035990197
GWW,GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,0.00098159397758894,0.017604756020367523,0.24736168235241285,0.27946683793115773,-0.13717021501980398,0.13938625162751594
HCA,HCA,HCA Healthcare,Health Care,Health Care Facilities,0.000977341316078978,0.02215724993102104,0.24629001165190245,0.35173543832750837,-0.2182303211708101,0.22559801963650772
CTAS,CTAS,Cintas,Industrials,Diversified Support Services,0.0009745827471880445,0.017890340197164175,0.24559485229138722,0.28400034619223197,-0.16860995304216309,0.14658834955661515
CMG,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0.0009715391933230748,0.022148605291427047,0.24482787671741485,0.3515982089282714,-0.18184104244090749,0.152490205932436
MSFT,MSFT,Microsoft,Information Technology,Systems Software,0.0009651001661272738,0.018025424993914754,0.243205241864073,0.2861447508608784,-0.1473904133820162,0.14216917071583945
EBAY,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,0.0009596857426545102,0.020486737030566988,0.24184080714893658,0.32521686814834866,-0.1588305536135559,0.18295512126300317
WAB,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,0.0009595411362458633,0.020648795082133187,0.24180436633395755,0.3277894599627477,-0.18221682974880404,0.12236233175967404
AXP,AXP,American Express,Financials,Consumer Finance,0.0009555459693748541,0.022106339500852244,0.24079758428246323,0.35092726030331267,-0.14818676346361814,0.21882301461456444
MAR,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.0009472891052037786,0.022703503861911608,0.2387168545113522,0.3604069506504758,-0.15191371745160176,0.1948206670210786
AZO,AZO,AutoZone,Consumer Discretionary,Automotive Retail,0.0009443217704522058,0.016840083223264444,0.23796908615395584,0.26732803359833235,-0.1593711714787006,0.11782033879652665
