ticker,cluster_id,symbol,company_name,sector,sub_industry
VRSK,24,VRSK,Verisk Analytics,Industrials,Research & Consulting Services
VRSN,24,VRSN,Verisign,Information Technology,Internet Services & Infrastructure
A,25,A,Agilent Technologies,Health Care,Life Sciences Tools & Services
ABT,25,ABT,Abbott Laboratories,Health Care,Health Care Equipment
BAX,25,BAX,Baxter International,Health Care,Health Care Equipment
BDX,25,BDX,Becton Dickinson,Health Care,Health Care Equipment
BSX,25,BSX,Boston Scientific,Health Care,Health Care Equipment
COO,25,COO,Cooper Companies (The),Health Care,Health Care Supplies
CRL,25,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services
DGX,25,DGX,Quest Diagnostics,Health Care,Health Care Services
DHR,25,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services
DVA,25,DVA,DaVita,Health Care,Health Care Services
EW,25,EW,Edwards Lifesciences,Health Care,Health Care Equipment
HCA,25,HCA,HCA Healthcare,Health Care,Health Care Facilities
HSIC,25,HSIC,Henry Schein,Health Care,Health Care Distributors
IDXX,25,IDXX,Idexx Laboratories,Health Care,Health Care Equipment
IQV,25,IQV,IQVIA,Health Care,Life Sciences Tools & Services
ISRG,25,ISRG,Intuitive Surgical,Health Care,Health Care Equipment
LH,25,LH,Labcorp,Health Care,Health Care Services
MDT,25,MDT,Medtronic,Health Care,Health Care Equipment
MTD,25,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
RMD,25,RMD,ResMed,Health Care,Health Care Equipment
RVTY,25,RVTY,Revvity,Health Care,Health Care Equipment
STE,25,STE,Steris,Health Care,Health Care Equipment
SYK,25,SYK,Stryker Corporation,Health Care,Health Care Equipment
TECH,25,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
TMO,25,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
UHS,25,UHS,Universal Health Services,Health Care,Health Care Facilities
VTRS,25,VTRS,Viatris,Health Care,Pharmaceuticals
WAT,25,WAT,Waters Corporation,Health Care,Life Sciences Tools & Services
WST,25,WST,West Pharmaceutical Services,Health Care,Health Care Supplies
ZBH,25,ZBH,Zimmer Biomet,Health Care,Health Care Equipment
ZTS,25,ZTS,Zoetis,Health Care,Pharmaceuticals
